,APN,Address,Sales Date,Sales Price,Building Area (Sq. Ft.),Beds,Baths,Stories,Year Built,neighborhood
1,1102824140185,4040 16TH AVE S,"Dec 2, 2022","$349,900",1320,3,2,1.20,1955,Bancroft
2,1102824140125,4000 18TH AVE S,"Dec 9, 2022","$515,000",1720,3,3,2.00,1923,Bancroft
1,1002824140076,4029 CLINTON AVE,"Dec 7, 2022","$192,500",864,2,1,1.00,1924,Bryant
2,1102824230137,4017 PORTLAND AVE,"Dec 1, 2022","$283,000",1238,3,1,1.50,1922,Bryant
1,1102824140185,4040 16TH AVE S,"Dec 2, 2022","$349,900",1320,3,2,1.20,1955,Bancroft
2,1102824140125,4000 18TH AVE S,"Dec 9, 2022","$515,000",1720,3,3,2.00,1923,Bancroft
1,1002824140076,4029 CLINTON AVE,"Dec 7, 2022","$192,500",864,2,1,1.00,1924,Bryant
2,1102824230137,4017 PORTLAND AVE,"Dec 1, 2022","$283,000",1238,3,1,1.50,1922,Bryant
1,2402924120029,1115 13TH AVE SE,"Dec 22, 2022","$296,000",1286,3,2,1.50,1910,Como
1,3102923440136,2836 WEST RIVER PKWY S,"Dec 12, 2022","$746,500",2332,4,3,2.00,1927,Cooper
1,2302824120140,5514 EDGEWATER BLVD,"Dec 1, 2022","$655,000",1918,4,2,2.00,1936,Diamond Lake
1,3502924140016,2522 16TH AVE S,"Dec 16, 2022","$165,000",2560,6,2,2.50,1900,East Phillips
1,1702824340193,5309 ZENITH AVE S,"Dec 2, 2022","$1,050,000",2577,5,4,1.70,2017,Fulton
1,0702823210073,3809 36TH AVE S,"Dec 7, 2022","$257,000",596,1,2,1.00,1920,Howe
2,0602823340127,3637 37TH AVE S,"Dec 9, 2022","$280,000",936,2,1,1.20,1925,Howe
3,0502823330087,3721 47TH AVE S,"Dec 9, 2022","$510,900",1542,3,2,2.00,1930,Howe
1,0902924340175,2647 HUMBOLDT AVE N,"Dec 2, 2022","$193,000",1124,2,1,1.70,1912,Jordan
1,2102824120111,5520 FREMONT AVE S,"Dec 16, 2022","$430,100",1172,4,2,1.20,1950,Kenny
2,2102824130013,5619 GIRARD AVE S,"Dec 9, 2022","$406,000",1323,3,2,1.00,1955,Kenny
3,2102824210141,5524 JAMES AVE S,"Dec 6, 2022","$355,000",1012,3,2,1.20,1951,Kenny
1,1002824240039,4034 BLAISDELL AVE,"Dec 6, 2022","$404,000",1552,3,2,2.50,1910,King Field
1,1211821210045,5233 CAMDEN AVE N,"Dec 5, 2022","$40,000",506,1,1,1.00,1924,Lind - Bohanon
1,0502824430013,3708 UPTON AVE S,"Dec 12, 2022","$1,200,000",3308,3,4,2.00,1992,Linden Hills
1,0602823230043,3252 33RD AVE S,"Dec 13, 2022","$245,000",1404,4,1,1.50,1925,Longfellow
1,2802924310019,825 KENWOOD PKWY,"Dec 19, 2022","$830,000",1840,3,2,1.70,1925,Lowry Hill
2,2802924410016,1000 MOUNT CURVE AVE,"Dec 8, 2022","$630,000",2948,6,2,2.50,1900,Lowry Hill
1,0302824240146,3244 PILLSBURY AVE,"Dec 5, 2022","$255,000",1332,3,1,2.00,1915,Lyndale
1,1602824340127,5340 KNOX AVE S,"Dec 14, 2022","$420,000",1086,4,2,1.20,1947,Lynnhurst
2,1602824320004,5012 OLIVER AVE S,"Dec 7, 2022","$525,000",1811,3,2,1.70,1925,Lynnhurst
1,3102923220120,2305 32ND AVE S,"Dec 30, 2022","$427,000",1953,3,2,1.20,1922,Seward
1,1111821130080,4938 OLIVER AVE N,"Dec 1, 2022","$228,000",1008,3,1,1.20,1954,Shingle Creek
1,0402824130017,3213 EMERSON AVE S,"Dec 1, 2022","$325,000",1540,3,2,2.00,1909,South Uptown
1,1202824220147,3904 21ST AVE S,"Dec 8, 2022","$220,000",746,1,1,1.00,1921,Standish
2,1202824110088,3856 29TH AVE S,"Dec 9, 2022","$240,000",736,2,1,1.00,1920,Standish
1,1502824210073,137 46TH ST W,"Dec 14, 2022","$270,000",1248,2,2,1.00,1910,Tangletown
2,1502824210126,219 47TH ST W,"Dec 2, 2022","$430,000",1374,3,1,1.50,1914,Tangletown
1,0502924420080,3846 UPTON AVE N,"Dec 2, 2022","$257,700",936,3,1,1.20,1926,Victory
1,0102924240122,3300 BUCHANAN ST NE,"Dec 23, 2022","$162,000",1020,3,1,1.20,1946,Waite Park
1,0402924140086,4125 ALDRICH AVE N,"Dec 23, 2022","$159,900",1208,2,1,2.00,1890,Webber - Camden
2,0402924410058,3950 DUPONT AVE N,"Dec 13, 2022","$34,600",922,2,1,1.50,1911,Webber - Camden
1,0502824240004,3325 32ND ST W,"Dec 5, 2022","$740,000",1431,3,3,1.70,1902,West Maka Ska
1,2202824130121,5605 1ST AVE S,"Dec 19, 2022","$310,000",870,3,1,1.20,1929,Windom
2,2202824230132,5644 GRAND AVE S,"Dec 9, 2022","$425,000",1115,3,2,1.20,1940,Windom
