,APN,Address,Sales Date,Sales Price,Building Area (Sq. Ft.),Beds,Baths,Stories,Year Built,neighborhood
1,2002824120050,2714 55TH ST W,"Oct 26, 2022","$350,000",960,2,2,1.00,1947,Armatage
2,2002824120116,5544 WASHBURN AVE S,"Oct 17, 2022","$340,000",1228,3,2,1.00,1960,Armatage
3,2002824420077,5820 WASHBURN AVE S,"Oct 26, 2022","$475,000",1530,4,3,2.00,1960,Armatage
1,0102924340057,3014 BUCHANAN ST NE,"Oct 21, 2022","$235,500",1040,4,1,1.00,1962,Audubon Park
2,1202924120040,2818 HAYES ST NE,"Oct 12, 2022","$285,000",1356,3,1,1.70,1911,Audubon Park
1,1102824120064,3912 BLOOMINGTON AVE,"Oct 11, 2022","$180,000",504,1,1,1.00,1911,Bancroft
1,1302924310136,643 PIERCE ST NE,"Oct 14, 2022","$285,500",1026,4,2,1.50,1900,Beltrami
1,1102924320007,2117 2ND ST NE,"Oct 21, 2022","$490,000",1496,3,2,1.20,1947,Bottineau
2,1102924330022,2100 3RD ST NE,"Oct 17, 2022","$295,000",1056,2,1,1.20,1920,Bottineau
1,1102824230138,4015 PORTLAND AVE,"Oct 7, 2022","$280,000",1033,3,2,1.20,1919,Bryant
1,2902924310031,1240 LAKEVIEW AVE S,"Oct 4, 2022","$351,500",1007,2,1,1.50,1940,Bryn - Mawr
2,2802924220008,2112 LAUREL AVE W,"Oct 6, 2022","$375,000",1682,3,2,2.20,1910,Bryn - Mawr
3,2902924110117,248 RUSSELL AVE S,"Oct 7, 2022","$467,000",1728,3,1,2.00,1905,Bryn - Mawr
4,2902924110146,244 SHERIDAN AVE S,"Oct 10, 2022","$375,000",848,2,2,1.50,1914,Bryn - Mawr
5,2902924130043,604 UPTON AVE S,"Oct 27, 2022","$237,000",608,2,1,1.00,1925,Bryn - Mawr
6,2002924430026,313 VINCENT AVE N,"Oct 24, 2022","$495,000",1568,4,2,1.70,1953,Bryn - Mawr
1,0202824230186,3215 OAKLAND AVE,"Oct 5, 2022","$278,000",1172,4,2,1.70,1900,Central
1,0802924110093,3522 RUSSELL AVE N,"Oct 7, 2022","$244,900",1134,4,1,1.50,1948,Cleveland
2,0802924140029,3252 SHERIDAN AVE N,"Oct 12, 2022","$185,000",774,2,1,1.00,1915,Cleveland
3,0802924120022,3531 THOMAS AVE N,"Oct 5, 2022","$248,000",920,2,1,1.00,1954,Cleveland
1,0202924210045,516 36 1/2 AVE NE,"Oct 12, 2022","$187,700",925,3,1,1.00,1955,Columbia Park
1,0102824240073,3212 22ND AVE S,"Nov 3, 2022","$430,000",2184,3,3,2.00,1919,Corcoran
2,0102824240155,3325 22ND AVE S,"Oct 19, 2022","$260,000",1048,2,1,1.00,1908,Corcoran
3,0102824310099,3420 24TH AVE S,"Oct 24, 2022","$295,000",832,2,1,1.00,1922,Corcoran
4,0102824240133,2101 33RD ST E,"Nov 4, 2022","$180,000",899,2,1,1.20,1937,Corcoran
1,2302824430103,6129 13TH AVE S,"Oct 14, 2022","$180,000",864,2,1,1.00,1971,Diamond Lake
2,2302824140022,5620 16TH AVE S,"Oct 7, 2022","$375,000",1466,3,2,1.20,1940,Diamond Lake
3,2302824140028,5644 16TH AVE S,"Oct 6, 2022","$459,900",1427,4,3,1.20,1941,Diamond Lake
4,2302824210065,5520 ELLIOT AVE,"Oct 6, 2022","$390,000",1158,2,2,1.20,1936,Diamond Lake
5,2302824240065,5629 ELLIOT AVE,"Oct 19, 2022","$385,000",1411,3,2,1.20,1936,Diamond Lake
6,2302824330116,6109 LOREN DR,"Nov 4, 2022","$404,000",1106,4,2,1.00,1952,Diamond Lake
7,2302824230058,5817 PORTLAND AVE,"Oct 6, 2022","$510,000",1832,4,2,1.20,1939,Diamond Lake
8,2302824230057,5823 PORTLAND AVE,"Oct 7, 2022","$465,000",1590,3,2,1.70,1941,Diamond Lake
1,3502924140102,2523 16TH AVE S,"Oct 3, 2022","$230,000",1220,3,1,1.50,1900,East Phillips
2,3502924410230,2744 17TH AVE S,"Nov 1, 2022","$263,000",1840,3,2,2.00,1900,East Phillips
3,3502924410063,2605 18TH AVE S,"Oct 17, 2022","$250,000",1508,3,1,2.00,1904,East Phillips
1,1502824130128,4905 2ND AVE S,"Oct 26, 2022","$255,000",1140,3,1,1.20,1923,Field
2,1502824110057,4600 4TH AVE S,"Nov 1, 2022","$202,221",950,3,1,1.00,1949,Field
1,0402924430022,3734 EMERSON AVE N,"Oct 12, 2022","$195,000",1256,3,1,1.50,1919,Folwell
2,0402924430073,3706 GIRARD AVE N,"Oct 20, 2022","$157,500",910,3,1,1.50,1911,Folwell
3,0902924240018,3214 IRVING AVE N,"Oct 11, 2022","$127,500",758,2,1,1.20,1918,Folwell
4,0902924240113,3343 IRVING AVE N,"Oct 3, 2022","$240,000",1316,3,2,1.20,1946,Folwell
5,0902924210097,3547 JAMES AVE N,"Oct 21, 2022","$239,900",1362,3,1,1.20,1927,Folwell
6,0402924330169,3612 MORGAN AVE N,"Oct 5, 2022","$185,000",994,2,1,1.50,1915,Folwell
7,0402924330085,3715 NEWTON AVE N,"Oct 5, 2022","$235,000",1364,2,1,1.70,1922,Folwell
8,0402924330102,3754 OLIVER AVE N,"Oct 17, 2022","$195,000",810,2,1,1.20,1919,Folwell
1,1702824440058,2410 54TH ST W,"Nov 1, 2022","$710,000",1418,4,3,1.50,1927,Fulton
2,1702824440066,5314 PENN AVE S,"Nov 14, 2022","$485,000",1216,3,2,1.20,1920,Fulton
3,1702824130052,4844 VINCENT AVE S,"Oct 7, 2022","$780,000",1865,5,3,1.70,1922,Fulton
4,1702824130203,4912 WASHBURN AVE S,"Oct 5, 2022","$1,049,000",2555,5,4,2.00,2012,Fulton
5,1702824420095,5036 WASHBURN AVE S,"Oct 13, 2022","$1,025,000",2360,4,4,2.00,2017,Fulton
6,1702824430076,5205 XERXES AVE S,"Oct 7, 2022","$737,500",2273,3,3,2.00,2015,Fulton
1,1402824430026,5243 15TH AVE S,"Oct 7, 2022","$439,900",1516,3,2,2.00,1930,Hale
2,1402824440026,5233 16TH AVE S,"Oct 28, 2022","$525,000",1444,3,2,2.00,1931,Hale
3,1402824340049,5206 ELLIOT AVE,"Oct 21, 2022","$435,000",1182,3,2,1.20,1940,Hale
4,1402824340077,5337 ELLIOT AVE,"Oct 7, 2022","$420,000",1090,5,2,1.20,1930,Hale
1,1102924140029,912 27TH AVE NE,"Oct 20, 2022","$155,000",1020,2,1,1.50,1907,Holland
